LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01011552,Leeds 107D,,10886
E01011553,Leeds 108D,,10887
E01011554,Leeds 012A,,10888
E01011555,Leeds 018A,,10889
E01011556,Leeds 015A,,10890
E01011557,Leeds 015B,,10891
E01011558,Leeds 018B,,10892
E01011559,Leeds 018C,,10893
E01011560,Leeds 018D,,10894
E01011561,Leeds 006A,,10895
E01011562,Leeds 012B,,10896
E01011563,Leeds 012C,,10897
E01011564,Leeds 012D,,10898
E01011565,Leeds 015C,,10899
E01011566,Leeds 015D,,10900
E01011567,Leeds 012E,,10901
E01011568,Leeds 015E,,10902
E01011569,Leeds 004A,,10903
E01011570,Leeds 007A,,10852
E01011571,Leeds 004B,,10956
E01011572,Leeds 004C,,10960
E01011573,Leeds 004D,,10965
E01011574,Leeds 004E,,10970
E01011576,Leeds 007C,,10975
E01011578,Leeds 011D,,10980
E01011579,Leeds 014C,,10985
E01011580,Leeds 014D,,10990
E01011581,Leeds 003A,,10995
E01011582,Leeds 003B,,11000
E01011583,Leeds 003C,,11003
E01011584,Leeds 003D,,11008
E01011585,Leeds 062A,,11013
E01011586,Leeds 066A,,11018
E01011587,Leeds 062B,,11023
E01011588,Leeds 039A,,11028
E01011589,Leeds 039B,,11033
E01011590,Leeds 039C,,11039
E01011591,Leeds 052D,,11041
E01011592,Leeds 039D,,11043
E01011593,Leeds 039E,,11045
E01011594,Leeds 062C,,11047
E01011595,Leeds 066B,,11049
E01011596,Leeds 062D,,11051
E01011597,Leeds 066C,,11053
E01011598,Leeds 062E,,11055
E01011599,Leeds 066D,,11057
E01011600,Leeds 079A,,11059
E01011601,Leeds 079B,,11061
E01011602,Leeds 076A,,11066
E01011603,Leeds 076B,,11071
E01011604,Leeds 079C,,11076
E01011605,Leeds 076C,,11081
E01011606,Leeds 076D,,11086
E01011607,Leeds 079D,,11091
E01011608,Leeds 068A,,11096
E01011609,Leeds 068B,,11101
E01011610,Leeds 068C,,11106
E01011611,Leeds 068D,,11111
E01011612,Leeds 079E,,11116
E01011613,Leeds 076E,,11121
E01011614,Leeds 068E,,11126
E01011615,Leeds 070A,,11131
E01011616,Leeds 072A,,11136
E01011617,Leeds 070B,,11141
E01011618,Leeds 070C,,11167
E01011620,Leeds 072B,,11170
E01011621,Leeds 070D,,11173
E01011622,Leeds 072C,,11176
E01011623,Leeds 075B,,10919
E01011624,Leeds 072D,,10963
E01011625,Leeds 075C,,10968
E01011626,Leeds 075D,,10973
E01011627,Leeds 098A,,10978
E01011628,Leeds 098B,,10983
E01011629,Leeds 098C,,10988
E01011630,Leeds 100B,,10993
E01011632,Leeds 098D,,10998
E01011633,Leeds 098E,,11007
E01011634,Leeds 100C,,11012
E01011635,Leeds 097B,,11017
E01011636,Leeds 100D,,11022
E01011637,Leeds 097C,,11027
E01011638,Leeds 097D,,11032
E01011639,Leeds 100E,,11040
E01011641,Leeds 032B,,11042
E01011642,Leeds 032C,,11044
E01011643,Leeds 037A,,11046
E01011644,Leeds 037B,,11048
E01011645,Leeds 032D,,11050
E01011646,Leeds 037C,,11052
E01011647,Leeds 037D,,11054
E01011648,Leeds 037E,,11056
E01011649,Leeds 022B,,11058
E01011650,Leeds 020A,,11060
E01011651,Leeds 020B,,11064
E01011652,Leeds 024C,,11069
E01011653,Leeds 020C,,11074
E01011654,Leeds 024D,,11079
E01011655,Leeds 020D,,11084
E01011656,Leeds 035A,,11089
E01011657,Leeds 035B,,11094
E01011658,Leeds 040C,,11099
E01011659,Leeds 035C,,11104
E01011660,Leeds 040D,,11109
E01011661,Leeds 035D,,11114
E01011662,Leeds 040E,,11119
E01011663,Leeds 050A,,11124
E01011664,Leeds 050B,,11129
E01011665,Leeds 050C,,11134
E01011666,Leeds 061D,,11139
E01011667,Leeds 050D,,11144
E01011668,Leeds 110E,,11145
E01011669,Leeds 110F,,11146
E01011670,Leeds 055A,,11147
E01011671,Leeds 055B,,11148
E01011673,Leeds 064B,,11149
E01011677,Leeds 064D,,11150
E01011678,Leeds 063B,,11151
E01011681,Leeds 063D,,10920
E01011684,Leeds 019C,,10964
E01011685,Leeds 109A,,10969
E01011686,Leeds 033E,,10974
E01011687,Leeds 109B,,10979
E01011688,Leeds 031B,,10984
E01011689,Leeds 031C,,10989
E01011690,Leeds 109C,,10994
E01011691,Leeds 031D,,10999
E01011692,Leeds 109D,,11005
E01011693,Leeds 109E,,11010
E01011694,Leeds 109F,,11015
E01011695,Leeds 019D,,11020
E01011696,Leeds 006B,,11025
E01011697,Leeds 002A,,11030
E01011698,Leeds 001A,,11034
E01011699,Leeds 001B,,11036
E01011700,Leeds 002B,,11065
E01011701,Leeds 001C,,11070
E01011702,Leeds 001D,,11075
E01011703,Leeds 001E,,11080
E01011704,Leeds 002C,,11085
E01011705,Leeds 002D,,11090
E01011706,Leeds 006C,,11095
E01011707,Leeds 005A,,11100
E01011708,Leeds 006D,,11105
E01011709,Leeds 005B,,11110
E01011710,Leeds 005C,,11115
E01011711,Leeds 005D,,11120
E01011712,Leeds 005E,,11125
E01011713,Leeds 006E,,11130
E01011714,Leeds 029A,,11135
E01011715,Leeds 022C,,11140
E01011716,Leeds 029B,,11166
E01011717,Leeds 029C,,11168
E01011718,Leeds 029D,,11171
E01011719,Leeds 022D,,11174
E01011720,Leeds 029E,,11177
E01011721,Leeds 041A,,11179
E01011722,Leeds 041B,,11181
E01011723,Leeds 041C,,11183
E01011724,Leeds 041D,,11185
E01011725,Leeds 078A,,11187
E01011726,Leeds 080A,,11189
E01011727,Leeds 080B,,11191
E01011728,Leeds 080C,,11193
E01011729,Leeds 078B,,11195
E01011730,Leeds 078C,,11197
E01011731,Leeds 081B,,11199
E01011732,Leeds 081C,,11200
E01011733,Leeds 081D,,10918
E01011734,Leeds 083A,,10958
E01011735,Leeds 078D,,10961
E01011736,Leeds 083B,,10966
E01011737,Leeds 083C,,10971
E01011738,Leeds 083D,,10976
E01011739,Leeds 080D,,10981
E01032487,Leeds 097F,,30837
E01032488,Leeds 097G,,30838
E01032489,Leeds 102F,,30839
E01032490,Leeds 102G,,30840
E01032491,Leeds 102H,,30841
E01032492,Leeds 102I,,30842
E01032493,Leeds 033F,,30843
E01032494,Leeds 033G,,30844
E01032496,Leeds 105F,,30845
E01032497,Leeds 099E,,30846
E01032498,Leeds 099F,,30847
E01032499,Leeds 067G,,30848
E01032500,Leeds 067H,,30849
E01032501,Leeds 017E,,30850
E01032502,Leeds 017F,,30885
E01032503,Leeds 007E,,30953
E01032504,Leeds 007F,,30954
E01032606,Leeds 067I,,31181
E01032607,Leeds 067J,,31182
E01032608,Leeds 067K,,31183
E01032876,Leeds 109G,,31043
E01032946,Leeds 110G,,31377
E01033002,Leeds 055F,,31375
E01033003,Leeds 055G,,31421
E01033008,Leeds 111A,,31423
E01033010,Leeds 111B,,31427
E01033011,Leeds 111C,,31432
E01033013,Leeds 082E,,31437
E01033015,Leeds 111D,,31442
E01033016,Leeds 111E,,31447
E01033021,Leeds 075E,,31452
E01033031,Leeds 064E,,31551
E01033033,Leeds 075F,,31553
E01033034,Leeds 075G,,31554
E01033035,Leeds 064F,,31556
E01035040,Leeds 044G,,32994
E01035041,Leeds 044H,,32996
E01035042,Leeds 055I,,32998
E01035043,Leeds 055J,,33000
E01035044,Leeds 063F,,33002
E01035045,Leeds 063G,,33003
E01035046,Leeds 082G,,33004
E01035047,Leeds 082H,,33005
E01035048,Leeds 099G,,33006
E01035049,Leeds 099H,,33007
E01035050,Leeds 105G,,33008
E01035051,Leeds 105H,,33009
E01035052,Leeds 105I,,33010
E01035053,Leeds 105J,,33011
E01035054,Leeds 112F,,33012
